date,description,amount
2023-09-01,Salary Credit,40000
2023-09-02,Rent Payment,-11000
2023-09-03,Big Bazaar Groceries,-1800
2023-09-04,Zomato Food Order,-320
2023-09-05,Electricity Bill,-900
2023-09-06,Swiggy Dinner,-280
2023-09-07,Petrol Pump,-1200
2023-09-08,Amazon Shopping,-1599
2023-09-09,Netflix Subscription,-649
2023-09-10,Mobile Recharge,-199
2023-09-11,DMart Groceries,-1500
2023-09-12,Auto Rickshaw,-90
2023-09-13,Gym Membership,-800
2023-09-14,Cafe Coffee Day,-210
2023-09-15,Freelance Payment,5000
2023-09-16,Flipkart Purchase,-999
2023-09-17,Water Bill,-300
2023-09-18,Uber Ride,-200
2023-09-19,Medical Pharmacy,-340
2023-09-20,Zepto Groceries,-750
2023-09-21,LIC Premium,-2500
2023-09-22,Hotstar Subscription,-299
2023-09-23,Restaurant Dinner,-800
2023-09-24,Stationery Shop,-200
2023-09-25,Salary Bonus,3000
2023-09-26,Ola Ride,-150
2023-09-27,Dairy Products,-280
2023-09-28,Internet Bill,-599
2023-09-29,Movie Tickets,-400
2023-09-30,Vegetable Market,-380
2023-10-01,Salary Credit,40000
2023-10-02,Rent Payment,-11000
2023-10-03,Big Bazaar Groceries,-1650
2023-10-04,Zomato Food Order,-290
2023-10-05,Electricity Bill,-850
2023-10-06,Swiggy Lunch,-210
2023-10-07,Petrol Pump,-1200
2023-10-08,Myntra Clothes,-1999
2023-10-09,Netflix Subscription,-649
2023-10-10,Mobile Recharge,-199
2023-10-11,Spencer's Groceries,-1700
2023-10-12,Metro Card Recharge,-400
2023-10-13,Yoga Class,-600
2023-10-14,Dussehra Celebration,-1500
2023-10-15,Freelance Payment,4000
2023-10-16,Amazon Shopping,-1299
2023-10-17,Gas Cylinder,-850
2023-10-18,Rapido Ride,-130
2023-10-19,Doctor Consultation,-400
2023-10-20,Blinkit Groceries,-600
2023-10-21,SIP Investment,-2000
2023-10-22,Prime Video,-299
2023-10-23,Diwali Shopping,-3500
2023-10-24,Book Store,-400
2023-10-25,Interest Income,900
2023-10-26,Ola Ride,-180
2023-10-27,Milk and Dairy,-320
2023-10-28,Internet Bill,-599
2023-10-29,Diwali Sweets,-800
2023-10-30,Local Market,-450
2023-10-31,ATM Withdrawal,-1500
2023-11-01,Salary Credit,40000
2023-11-02,Rent Payment,-11000
2023-11-03,Reliance Fresh Groceries,-1550
2023-11-04,Zomato Food Order,-310
2023-11-05,Electricity Bill,-800
2023-11-06,Swiggy Dinner,-260
2023-11-07,Petrol Pump,-1200
2023-11-08,Ajio Clothes,-1799
2023-11-09,Netflix Subscription,-649
2023-11-10,Mobile Recharge,-199
2023-11-11,DMart Groceries,-1600
2023-11-12,Auto Rickshaw,-100
2023-11-13,Cricket Club Fee,-500
2023-11-14,Tea Stall,-60
2023-11-15,Part Time Work,3000
2023-11-16,Flipkart Electronics,-2999
2023-11-17,Water Bill,-300
2023-11-18,Uber Ride,-220
2023-11-19,Chemist Shop,-280
2023-11-20,Zepto Grocery,-680
2023-11-21,Health Insurance,-1500
2023-11-22,Spotify Premium,-119
2023-11-23,Family Dinner,-1000
2023-11-24,Printing Shop,-150
2023-11-25,Dividend Income,600
2023-11-26,Rapido Ride,-120
2023-11-27,Paneer and Dairy,-300
2023-11-28,Internet Bill,-599
2023-11-29,Cinema Hall,-500
2023-11-30,Sabzi Mandi,-350
2023-12-01,Salary Credit,40000
2023-12-02,Rent Payment,-11000
2023-12-03,Big Bazaar Groceries,-1900
2023-12-04,Zomato Food Order,-400
2023-12-05,Electricity Bill,-1100
2023-12-06,Swiggy Breakfast,-180
2023-12-07,Petrol Pump,-1200
2023-12-08,Amazon Year End Sale,-3999
2023-12-09,Netflix Subscription,-649
2023-12-10,Mobile Recharge,-199
2023-12-11,More Groceries,-1400
2023-12-12,Metro Recharge,-400
2023-12-13,Swimming Pool Fee,-700
2023-12-14,Fast Food,-250
2023-12-15,Freelance Payment,6000
2023-12-16,Nykaa Cosmetics,-899
2023-12-17,Gas Cylinder,-850
2023-12-18,Ola Ride,-190
2023-12-19,Eye Checkup,-600
2023-12-20,Blinkit Grocery,-820
2023-12-21,Mutual Fund SIP,-2000
2023-12-22,Disney Hotstar,-299
2023-12-23,New Year Party Plan,-2000
2023-12-24,Newspaper Subscription,-150
2023-12-25,Christmas Gifts,-1800
2023-12-26,Uber Ride,-210
2023-12-27,Curd and Milk,-280
2023-12-28,Internet Bill,-599
2023-12-29,Movie + Snacks,-650
2023-12-30,Local Market,-500
2023-12-31,ATM Withdrawal,-2000
